TableName,RowLabel,ColumnName,Value,RunID,Timestamp,ProjectID
Result - set6-8 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260922T155011_0c2931,,
Result - set6-8 | Plan #2,Endpoint Name,Value,EP1,20260922T155011_0c2931,,
Result - set6-8 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260922T155011_0c2931,,
Result - set6-8 | Plan #2,Endpoint Type,Value,Categorical,20260922T155011_0c2931,,
Result - set6-8 | Plan #2,Priority,Parameter,Priority,20260922T155011_0c2931,,
Result - set6-8 | Plan #2,Priority,Value,Primary,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Number of Analysis,Test,Number of Analysis,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Number of Analysis,value,5,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(CR),Test,Probability(CR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(CR),Test,Probability(CR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(CR),value,0.0564,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(CR),value,0.1896,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(PR),Test,Probability(PR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(PR),Test,Probability(PR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(PR),value,0.0985,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Probability(PR),value,0.2989,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Response Rate (H0),Test,Response Rate (H0),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Response Rate (H0),value,,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Response Rate (H1),Test,Response Rate (H1),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Response Rate (H1),value,,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Test Name,Test,Test Name,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Test Name,value,BOP2 : Ordinal (Single Arm Bayesian Optimal Design),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Type 1 Error (α),Test,Type 1 Error (α),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #1,Type 1 Error (α),value,0.29,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Probability(CR),Response Generation,Probability(CR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Probability(CR),value,0.31,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Probability(PR),Response Generation,Probability(PR),20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Probability(PR),value,0.33,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Response Rate,Response Generation,Response Rate,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #2,Response Rate,value,,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Number of Simulations Run,Simulation Parameters,Number of Simulations Run,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Number of Simulations Run,value,1002,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Random Number Seed,Simulation Parameters,Random Number Seed,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Random Number Seed,value,Fixed,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Starting Seed,Simulation Parameters,Starting Seed,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Starting Seed,value,165,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Total Number of Simulations,Simulation Parameters,Total Number of Simulations,20260922T155011_0c2931,,
Result - set6-8 | Simulation Summary #3,Total Number of Simulations,value,1002,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,10,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,10,Boundary,CR ≤ 0 and CR/PR ≤ 1,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,10,Sample Size,10,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,15,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,15,Boundary,CR ≤ 0 and CR/PR ≤ 2,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,15,Sample Size,15,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,20,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,20,Boundary,CR ≤ 1 and CR/PR ≤ 3,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,20,Sample Size,20,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,25,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,25,Boundary,CR ≤ 2 and CR/PR ≤ 4,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,25,Sample Size,25,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,5,Action,Early Stopping for Low Efficacy,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,5,Boundary,CR ≤ 0 and CR/PR ≤ 0,20260922T155011_0c2931,,
Result - set6-9 | Early Stopping Boundaries,5,Sample Size,5,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,10,Cumulative Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,10,Early Stop,0,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,10,Sample Size,10,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,15,Cumulative Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,15,Early Stop,0,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,15,Sample Size,15,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,20,Cumulative Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,20,Early Stop,0,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,20,Sample Size,20,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,5,Cumulative Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,5,Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Frequency of Early Stopping,5,Sample Size,5,20260922T155011_0c2931,,
Result - set6-9 | Operating Characteristics,0.993,Average Sample Size,24.86,20260922T155011_0c2931,,
Result - set6-9 | Operating Characteristics,0.993,Early Stop,0.007,20260922T155011_0c2931,,
Result - set6-9 | Operating Characteristics,0.993,Positive Trial,0.993,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Phase,Parameter,Phase,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Phase,Value,2,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Study Objective,Parameter,Study Objective,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Study Objective,Value,One Arm Exploratory / Confirmatory,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Target Population,Parameter,Target Population,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Target Population,Value,Adult,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Treatment Arm,Parameter,Treatment Arm,20260922T155011_0c2931,,
Result - set6-9 | Plan #1,Treatment Arm,Value,EXP,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Endpoint Name,Parameter,Endpoint Name,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Endpoint Name,Value,EP1,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Endpoint Type,Parameter,Endpoint Type,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Endpoint Type,Value,Categorical,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Priority,Parameter,Priority,20260922T155011_0c2931,,
Result - set6-9 | Plan #2,Priority,Value,Primary,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Number of Analysis,Test,Number of Analysis,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Number of Analysis,value,5,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(CR),Test,Probability(CR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(CR),Test,Probability(CR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(CR),value,0.0564,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(CR),value,0.1896,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(PR),Test,Probability(PR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(PR),Test,Probability(PR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(PR),value,0.0985,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Probability(PR),value,0.2989,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Response Rate (H0),Test,Response Rate (H0),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Response Rate (H0),value,,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Response Rate (H1),Test,Response Rate (H1),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Response Rate (H1),value,,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Test Name,Test,Test Name,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Test Name,value,BOP2 : Ordinal (Single Arm Bayesian Optimal Design),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Type 1 Error (α),Test,Type 1 Error (α),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #1,Type 1 Error (α),value,0.29,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Probability(CR),Response Generation,Probability(CR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Probability(CR),value,0.312,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Probability(PR),Response Generation,Probability(PR),20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Probability(PR),value,0.333,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Response Rate,Response Generation,Response Rate,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #2,Response Rate,value,,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Number of Simulations Run,Simulation Parameters,Number of Simulations Run,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Number of Simulations Run,value,1002,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Random Number Seed,Simulation Parameters,Random Number Seed,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Random Number Seed,value,Fixed,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Starting Seed,Simulation Parameters,Starting Seed,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Starting Seed,value,165,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Total Number of Simulations,Simulation Parameters,Total Number of Simulations,20260922T155011_0c2931,,
Result - set6-9 | Simulation Summary #3,Total Number of Simulations,value,1002,20260922T155011_0c2931,,
