TC_ID,IterationID,Run,react select input container,Hypothesis,power,Test Type,Type 1 Error,Upper Type 1 Error,Lower Type 1 Error,Number of Events,Allocation Ratio,inputMethod,Starting At Time,inputMethodTable.0.hazardRateControl,inputMethodTable.0.hazardRateTrmt_Null_SS,inputMethodTable.0.hazardRateTrmt_Alt_SPSS,inputMethodTable.1.hazardRateControl,inputMethodTable.2.hazardRateControl,inputMethodTable.2.startingAtTime,inputMethodTable.1.startingAtTime,Input Method,hazardRatioInputMethod,hazardRatio_Null_SS,hazardRatio_Alt_SS,hazardRatio_Alt_SP,hazardRatio_Null_NI,hazardRatio_Alt_NI,logHazardRatio_Null_SS,logHazardRatio_Alt_SS,logHazardRatio_Alt_SP,logHazardRatio_Null_NI,logHazardRatio_Alt_NI,Hazard Ratio,inputMethodTable.0.byTime,inputMethodTable.0.cumPercSurvivalControl,Cumulative % Survival (Treatment: Null),inputMethodTable.3.byTime,inputMethodTable.3.cumPercSurvivalControl,ratioOfPercSurv_Null_SS,ratioOfPercSurv_Null_NI,ratioOfPercSurv_Alt_SP,ratioOfPercSurv_Alt_SS,ratioOfPercSurv_Alt_NI,inputMethodTable.0.medianSurvivalTimeControl,inputMethodTable.0.medianSurvivalTimeTrmt_Null_SS,inputMethodTable.0.medianSurvivalTimeTrmt_Alt_SPSS,ratioOfMedians_Null_SS,ratioOfMedians_Alt_SS,ratioOfMedians_Alt_SP,inputMethodTable.0.cumPercSurvivalTrmt_Alt_SPSS,inputMethodTable.1.cumPercSurvivalControl,inputMethodTable.2.cumPercSurvivalControl,inputMethodTable.1.byTime,inputMethodTable.2.byTime,Median Survival Time (Treatment: Alternative) (mt),inputMethodTable.0.hazardRateTrmt_Null_NI,inputMethodTable.0.hazardRateTrmt_Alt_NI,inputMethodTable.0.medianSurvivalTimeTrmt_Null_NI,inputMethodTable.0.medianSurvivalTimeTrmt_Alt_NI,inputMethodTable.0.cumPercSurvivalTrmt_Null_NI,inputMethodTable.0.cumPercSurvivalTrmt_Alt_NI,Variance of Log Hazard Ratio,variable,Follow-up Time,piecewiseInputMethod,dropoutTable.0.dropoutHazardRateControl,dropoutTable.0.dropoutHazardRateTreatment,dropoutTable.0.dropoutByTime,dropoutTable.0.probOfdropoutControl,dropoutTable.0.probOfdropoutTreatment,dropoutTable.1.dropoutStartingAtTime,dropoutTable.1.dropoutHazardRateControl,dropoutTable.1.dropoutHazardRateTreatment,dropoutTable.1.dropoutByTime,dropoutTable.1.probOfdropoutControl,dropoutTable.1.probOfdropoutTreatment,includeAssurance,priorDistributionFor,distributionMethod,minHR,maxHR,assuranceInputMethod,percHR1stOperator,percHR1stPercentileVal,percHR1stPercentileProb,percHR2ndOperator,percHR2ndPercentileVal,percHR2ndPercentileProb,E,SD,minDelta,maxDelta,percDelta1stOperator,percDelta1stPercentileVal,percDelta1stPercentileProb,percDelta2ndOperator,percDelta2ndPercentileVal,percDelta2ndPercentileProb,eDelta,sdDelta,percSCHR1stOperator,percSCHR1stPercentileVal,percSCHR1stPercentileProb,percSCHR2ndOperator,percSCHR2ndPercentileVal,percSCHR2ndPercentileProb,percSC1stOperator,percSC1stPercentileVal,percSC1stPercentileProb,percSC2ndOperator,percSC2ndPercentileVal,percSC2ndPercentileProb,sc a,sc b,st a,st b,percST1stOperator,percST1stPercentileVal,percST1stPercentileProb,percST2ndOperator,percST2ndPercentileVal,percST2ndPercentileProb,percSTHR1stOperator,percSTHR1stPercentileVal,percSTHR1stPercentileProb,percSTHR2ndOperator,percSTHR2ndPercentileVal,percSTHR2ndPercentileProb,input name eHR,input name sdHR,minLambdaC,maxLambdaC,percLambdaC1stOperator,percLambdaC1stPercentileVal,percLambdaC1stPercentileProb,percLambdaC2ndOperator,percLambdaC2ndPercentileVal,percLambdaC2ndPercentileProb,lambda c a,lambda c b,percLambdaCHR1stOperator,percLambdaCHR1stPercentileVal,percLambdaCHR1stPercentileProb,percLambdaCHR2ndOperator,percLambdaCHR2ndPercentileVal,percLambdaCHR2ndPercentileProb,percLambdaT1stOperator,percLambdaT1stPercentileVal,percLambdaT1stPercentileProb,percLambdaT2ndOperator,percLambdaT2ndPercentileVal,percLambdaT2ndPercentileProb,lambda t a,lambda t b,percLambdaTHR1stOperator,percLambdaTHR1stPercentileVal,percLambdaTHR1stPercentileProb,percLambdaTHR2ndOperator,percLambdaTHR2ndPercentileVal,percLambdaTHR2ndPercentileProb,minLambdaT,maxLambdaT,percMC1stOperator,percMC1stPercentileVal,percMC1stPercentileProb,percMC2ndOperator,percMC2ndPercentileVal,percMC2ndPercentileProb,input name eMC,input name sdMC,percMCHR1stOperator,percMCHR1stPercentileVal,percMCHR1stPercentileProb,percMCHR2ndOperator,percMCHR2ndPercentileVal,percMCHR2ndPercentileProb,percMT1stOperator,percMT1stPercentileVal,percMT1stPercentileProb,percMT2ndOperator,percMT2ndPercentileVal,percMT2ndPercentileProb,input name eMT,input name sdMT,percMTHR1stOperator,percMTHR1stPercentileVal,percMTHR1stPercentileProb,percMTHR2ndOperator,percMTHR2ndPercentileVal,percMTHR2ndPercentileProb,effBoundaryFam,effSpendFunc,effParamGamma,effParamRho,effParam,futBoundaryFam,futSpendFunc,futParamGamma,futParamRho,futBoundaryType,futParam,fix,upperSpendFunc,upperParam,upperParamGamma,upperParamRho,lowerSpendFunc,lowerParam,lowerParamGamma,lowerParamRho,boundary.0.analysisSpacingInfo,boundary.0.efficacyPValue,boundary.1.efficacyPValue,boundary.1.analysisSpacingInfo,boundary.2.analysisSpacingInfo,boundary.2.efficacyPValue,boundary.0.futilityPValue,computeCP,boundaryScale,boundary.0.futilityCP,boundary.0.futilityHR,boundary.1.futilityHR,boundary.2.futilityHR,shapeParamDelta,shapeParamDeltaTwo,boundary.3.analysisSpacingInfo,boundary.1.futilityCheck,boundary.0.efficacyCheck,boundary.0.cumAlphaSpent,boundary.0.cumBetaSpent,boundary.1.cumAlphaSpent,boundary.2.cumAlphaSpent,boundary.1.cumBetaSpent,enrollmentTable.0.avgSubjectsEnrolled,inputParameter,committedDuration,committedSubjects,enrollmentTable.1.avgSubjectsEnrolled,enrollmentTable.1.startingAtTime,Result Name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spending Functions,Lan-DeMets,N/A,N/A,O'Brien-Fleming,Spending Functions,Lan-DeMets,N/A,N/A,Non-Binding,Pocock,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,N/A,N/A,50,75,N/A,N/A,N/A,Z Scale,N/A,N/A,N/A,N/A,N/A,N/A,N/A,check,check,N/A,N/A,N/A,N/A,N/A,,,,,,,
